index,RF_Regressor,ET_Regressor,XGB_Regressor,ensamble
235,1098.5163875636238,1000.0,1000.00024,1032.8388772347496
235,1109.785524938849,1050.0,1049.9988,1069.928101411908
235,1212.1310016269576,1240.0,1239.9999,1230.7102931855484
235,1198.9793235580103,1153.0,1153.0,1168.3264411860034
235,1586.7350306884268,1608.0,1608.0005,1600.911839656559
235,1584.4763203709665,1669.0,1668.9995,1640.8252773632387
235,1433.4928620464825,1290.0,1289.9999,1337.83091332539
235,1182.3228724743542,970.0,970.00024,1040.774372204993
235,1251.4252951210287,1480.0,1479.9988,1403.808024805968
235,1293.2895239722561,1479.0,1478.9999,1417.096467300648
235,1242.8374639899725,1156.0,1156.0004,1184.9459434003033
235,1852.8966890349047,1980.0,1980.0002,1937.63231105851
235,1848.4539273685898,1931.0,1930.9999,1903.4846017660923
235,1547.6019794222166,1413.0,1413.0,1457.8673264740721
235,1292.8492666625098,1244.0,1243.999,1260.28276336667
