index,RF_Regressor,train_set,ET_Regressor,XGB_Regressor,ensamble
235,1319.1386758815665,1479.0,1294.797198412699,1487.3053,1395.060293036457
235,1265.044409218409,1156.0,1209.6337403337402,1204.9215,1208.899914585303
235,1767.238236631913,1980.0,1866.6107195767195,1982.0646,1898.9783828509862
235,1871.3345278276317,1931.0,1954.4168359788368,1928.2987,1921.262517465289
235,1538.891865187711,1413.0,1418.5610925925926,1429.422,1449.9687387126542
235,1298.7080505873425,1244.0,1224.776472222222,1195.2948,1240.694830653563
235,1343.5298017559262,1308.0,1318.276117965368,1324.4127,1323.5546598619642
235,1405.3182774013455,1461.0,1434.2703664021167,1439.1135,1434.9255422985218
235,1403.5754209536049,1306.0,1417.5210621693118,1375.9332,1375.7574276654948
235,1918.3691823187203,1971.0,1994.7237831890338,1945.8865,1957.4948600292823
235,1910.3443395356344,1912.0,1968.368155002405,1920.2422,1927.7386705095098
235,1563.3354233110867,1409.0,1463.7157721260228,1415.4316,1462.8707090155274
235,1283.0387264068484,1118.0,1217.3677629870124,1173.9574,1198.0909717136997
235,1306.1284901733102,1277.0,1309.4619470899468,1275.262,1291.9631000384704
235,1410.8983625988005,1533.0,1452.7687513227515,1505.1238,1475.4477233046068
235,1447.075871892553,1546.0,1460.3829444444443,1530.285,1495.9359626291712
235,1929.1655323435386,2168.0,2022.1249498557013,2116.268,2058.8896371513724
235,1918.9287460960522,2020.0,1990.169502645504,2014.9264,1986.0061600857798
235,1599.555041159269,1502.0,1481.2376213323707,1485.4899,1517.0706326639256
235,1298.746396191718,1185.0,1218.9347629870126,1190.154,1223.2088029782765
235,1329.2171030338952,1278.0,1307.2455333092826,1296.8812,1302.8359654822789
235,1407.315459293772,1409.0,1425.6419219576724,1395.6327,1409.397517920283
235,1460.6219128515943,1394.0,1469.865567460317,1404.7416,1432.3072643650871
235,1890.6326065559072,1917.0,2002.6656334776353,1943.2976,1938.3989618638543
235,1884.927674200628,1938.0,1974.391011904763,1937.2361,1933.6386925224415
235,1595.8049266953012,1470.0,1480.9990115440114,1463.6448,1502.6121784074844
235,1328.8612032898486,1327.0,1253.234695526696,1269.735,1294.7077210420268
235,1351.7047365833523,1325.0,1316.0869010341503,1330.9028,1330.9236174121882
235,1438.5459202103063,1393.0,1424.899490740741,1428.0105,1421.1139772494807
235,1493.8547542577373,1649.0,1520.3647486772486,1607.3982,1567.6544240735902
235,1906.1755406357158,2070.0,2032.8122551707575,2088.9492,2024.4842536391184
235,1906.9981858833899,2041.0,2002.087907407408,2038.4811,1997.1417930980901
235,1587.452520929509,1477.0,1468.425356782106,1488.6698,1505.3869193790756
235,1382.4456472149118,1281.0,1314.0212103174606,1310.4573,1321.9810332307493
235,1439.1654717555678,1436.0,1384.467866402116,1422.7933,1420.6066682796552
235,1415.4519530521561,1374.0,1417.99510978836,1399.5206,1401.7419231808321
235,1472.0620085628198,1470.0,1505.2200066137573,1492.5801,1484.9655233253943
235,1900.8645582020458,2105.0,2084.775407166908,2116.1873,2051.706805307082
235,1888.844932805059,2094.0,2024.9108068783064,2063.5789,2017.83364927631
235,1613.4533344904114,1436.0,1447.3704497354495,1441.019,1484.4607067986526
235,1365.6654258593794,1210.0,1231.158531746032,1213.8546,1255.169642965806
235,1386.494026916819,1360.0,1336.8935661375665,1347.0988,1357.6215869842995
235,1419.7038516687899,1435.0,1403.4216917989422,1440.2689,1424.5986160915425
235,1478.0062959573424,1558.0,1504.8987235449736,1562.0275,1525.733121330657
235,1926.84334194744,2281.0,2125.1041121933627,2192.586,2131.383347910201
235,1899.829563487602,1891.0,1991.1820542328037,1930.6897,1928.1753287465076
235,1625.6005499252853,1478.0,1486.7384933862431,1520.1973,1527.634077234132
